Latitude,Longitude,Time,Water Difference
45.2702845857,-95.0396785913,200301,8.302702702702504
45.3229661264,-94.2778163512,200303,1.212083333333112
45.3252798702,-94.2721389881,200303,0.7785416666665697
45.3252801544,-94.2721134739,200303,0.8247916666666697
45.330519226,-95.0089027797,200303,0.3770175438596652
45.3305282218,-95.0089030978,200303,-0.4348214285710128
45.3319880842,-94.2824093192,200303,0.8949999999997544
45.3320330799,-94.2824103349,200303,0.8522916666665878
45.3346602551,-94.2663889684,200303,-0.4435555555553492
45.3462894813,-94.8418422696,200303,0.8425000000002001
45.3490043101,-94.9504643597,200303,-0.3448148148147538
45.3498467893,-94.2614042791,200303,2.107291666666697
45.350934663,-94.988841886,200303,-1.6475000000000364
45.3574749786,-95.0080820651,200303,0.2318181818179709
45.3630942518,-94.2922289623,200303,0.9068750000001272
45.3807685326,-94.918692066,200303,0.0809090909090173
45.3832634081,-95.0345548353,200303,1.4383290816325598
45.3987887795,-94.247326822,200303,1.0127083333334213
45.4038380981,-95.0082551315,200303,0.241929824561339
45.4066420184,-94.8402763285,200303,-0.0419642857145845
45.4125169821,-95.0899205337,200303,0.9127659574470499
45.4126913642,-94.9270066251,200303,5.347321428571149
45.4214552423,-94.0878466433,200303,0.5219148936170086
45.424247019,-94.7022716432,200303,0.4910638297872083
45.4284264805,-94.3228400617,200303,0.0821276595743256
45.4423444506,-94.2491175234,200303,-0.231666666666797
45.4637403517,-95.0945122115,200303,0.0897872340426602
45.4640255278,-94.5053774724,200303,-0.045957446808643
45.4761857219,-94.3725374478,200303,-0.2366666666666788
45.4771689186,-95.1257554582,200303,1.4710416666666788
45.4771693947,-95.1257298868,200303,10.930192307692325
45.4787032317,-94.3847025917,200303,0.6870833333332484
45.483977134,-94.1512769488,200303,1.866041666666547
45.4948724836,-95.0293949533,200303,13.276122448979775
45.4948994701,-95.029395923,200303,-0.6075510204075272
45.4956249218,-95.029601175,200303,13.7644680851065
45.4956802626,-94.9552418449,200303,-0.1347499999999399
45.4956894775,-94.9552293651,200303,9.276136363635942
45.532183461,-94.0682972366,200303,-1.021403508771641
45.5330029349,-94.210806024,200303,-1.480833333333294
45.5738100489,-94.2512473429,200303,6.736595744680471
45.6597240459,-94.8197218181,200303,-0.562765957446345
45.6873174214,-94.1883951867,200303,0.0818367346938657
45.6873265539,-94.1883825377,200303,-0.0340816326528283
45.7047160385,-94.9242875068,200303,0.200638297872274
45.7201049939,-94.1955408471,200303,3.0411764705879705
45.724589201,-94.2334697464,200303,-0.5952173913042316
45.7295981234,-94.4794412701,200303,-1.438125000000127
45.7442807369,-95.0879360504,200303,-0.7236170212763682
45.7791501612,-94.1588549668,200303,-0.0047058823529368
45.7823547578,-94.2476974423,200303,5.536274509803207
45.3229661264,-94.2778163512,200304,1.102083333333212
45.3252798702,-94.2721389881,200304,0.8985416666666879
45.3252801544,-94.2721134739,200304,1.144791666666606
45.330519226,-95.0089027797,200304,0.5770175438597107
45.3305282218,-95.0089030978,200304,0.0651785714289872
45.3319880842,-94.2824093192,200304,1.1149999999997815
45.3320330799,-94.2824103349,200304,1.0322916666666515
45.3346602551,-94.2663889684,200304,1.2364444444447145
45.3452424489,-94.2667015191,200304,-0.2158333333331938
45.3462894813,-94.8418422696,200304,1.242500000000291
45.3490043101,-94.9504643597,200304,1.2415016835014967
45.3498467893,-94.2614042791,200304,1.8172916666667331
45.350934663,-94.988841886,200304,-1.547500000000127
45.3574749786,-95.0080820651,200304,3.33181818181788
45.3630942518,-94.2922289623,200304,0.8368749999999636
45.3807685326,-94.918692066,200304,0.1809090909091537
45.3832634081,-95.0345548353,200304,1.4383290816325598
45.3987887795,-94.247326822,200304,0.4727083333334576
45.4038380981,-95.0082551315,200304,1.0419298245612936
45.4066420184,-94.8402763285,200304,4.058035714285552
