Latitude,Longitude,Time,Water-Difference
40.9574629909468,-100.8869785110698,200301,-7.210357142857134
40.7562505150111,-98.30505198269935,200301,-4.371161852482671
40.84213280130049,-96.306741518406,200301,2.714210526315796
43.6657470658687,-89.4655842231083,200301,2.525624999999998
39.4965098764021,-86.42860643223369,200301,0.573522913867674
39.8183544131366,-86.2044162085696,200301,0.7022958470913288
40.7562505150111,-98.30505198269935,200302,-4.852406092114008
42.880338842719,-96.21396546188802,200302,-2.448571428571455
41.4241658845036,-96.13666694512654,200302,-3.1736363636363194
42.6921291054551,-95.801391596019,200302,-1.6057142857142992
43.3772387686097,-92.81184972215097,200302,2.5183333333333344
43.0331477767195,-92.7320005995869,200302,8.388333333333335
40.484459387601,-89.352175906016,200302,-0.1009090909090986
39.4965098764021,-86.42860643223369,200302,3.284432004776771
39.8183544131366,-86.2044162085696,200302,0.9415930821143672
40.2221527681325,-85.42320399951114,200302,-0.8005128205128074
39.6383895537206,-85.29165160023238,200302,-1.8654545454545504
41.4105700853916,-104.022872540613,200303,-16.333749999999952
41.4104675260674,-104.00363597866844,200303,-6.688750000000027
41.91199153975061,-103.4221870377033,200303,-0.8320000000000007
41.7667497002377,-103.3442196557838,200303,0.1319999999999979
41.5897456839212,-103.2320286732791,200303,-2.183999999999994
42.6102421737096,-102.95680403805832,200303,-3.483000000000004
41.3179278019052,-102.72859616434506,200303,5.312999999999988
42.5252427894289,-102.63050040027032,200303,-7.176000000000003
40.3844417509727,-102.02229239388346,200303,-8.927000000000008
40.0557168213126,-101.88645479849232,200303,-0.0480000004172325
40.818570911334,-101.5878154236399,200303,-8.681999999999986
40.9217232960034,-101.56714749025716,200303,-6.818000000000013
40.9262894154821,-101.5106997300216,200303,-9.292999999999976
40.8478627461541,-101.47324774027372,200303,-7.084999999999981
40.709354149232,-101.3766323977487,200303,-7.078000000000002
40.78062396136926,-101.33911798058604,200303,-5.617999999999938
40.3647191470133,-101.17710546201124,200303,0.4819999999999993
40.9574629909468,-100.8869785110698,200303,-7.600357142857149
40.5778775546711,-100.8677464082263,200303,-1.3077777777777726
41.12628901593133,-100.68926197036002,200303,-0.1625000000000005
40.68500745748022,-100.5699007533614,200303,0.245454545454578
40.84974448679873,-100.15932902386534,200303,-5.5628571428571485
41.2526421033817,-100.0756004833848,200303,-5.735555555555608
41.1707284170299,-99.93057713982355,200303,-3.719999999999999
40.7097108773163,-99.79216664312462,200303,-0.8164285714285704
41.4490788820892,-99.64063301202536,200303,-4.214444444444439
41.094977208334,-99.5753428544008,200303,-0.2811111111111089
40.7049753119975,-99.38468507065863,200303,5.207999999999998
41.5402942532385,-99.05316874373914,200303,-1.2000000000000028
41.4154037509336,-98.32401653947966,200303,-0.187777777777768
40.7562505150111,-98.30505198269935,200303,-5.231807013772994
41.9533407838192,-97.13369964517176,200303,0.2629999999999981
43.6657470658687,-89.4655842231083,200303,2.395624999999999
